,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2015-2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,2015 IRS Residence in,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Kusilvak Census Area,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Petersburg Census Area,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wrangell City and Borough ,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2016,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 IRS Residence in Aleutians East Borough,,"1,203",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,91,,"1,294",,
2016 IRS Residence in Aleutians West Census Area,,–,"3,235",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,175,,"3,410",,
2016 IRS Residence in Anchorage Municipality,,–,56,"230,803",197,–,–,93,591,–,–,189,461,–,207,105,–,"1,282",140,127,137,–,–,34,–,58,130,–,–,36,"12,467",,"247,113",,
2016 IRS Residence in Bethel Census Area,,–,–,147,"12,476",–,–,–,–,–,–,–,–,–,–,46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,163,,"12,832",,
2016 IRS Residence in Bristol Bay Borough,,–,–,–,–,622,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35,,657,,
2016 IRS Residence in Denali Borough,,–,–,–,–,–,"1,608",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110,,"1,718",,
2016 IRS Residence in Dillingham Census Area,,–,–,38,–,–,–,"3,701",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,61,,"3,800",,
2016 IRS Residence in Fairbanks North Star Borough,,–,–,312,52,–,37,–,"72,438",–,–,34,101,–,–,–,–,110,–,–,–,–,–,–,–,94,–,–,–,126,"6,794",,"80,098",,
2016 IRS Residence in Haines Borough,,–,–,–,–,–,–,–,–,"1,830",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,56,,"1,886",,
2016 IRS Residence in Hoonah-Angoon Census Area,,–,–,–,–,–,–,–,–,–,"1,467",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,43,,"1,510",,
2016 IRS Residence in Juneau City and Borough,,–,–,125,–,–,–,–,77,–,–,"25,038",–,36,–,–,–,–,–,–,–,–,–,62,–,–,–,–,–,–,"1,135",,"26,473",,
2016 IRS Residence in Kenai Peninsula Borough,,–,–,489,–,–,–,–,108,–,–,–,"44,861",–,54,–,–,186,–,–,–,–,–,–,–,–,48,–,–,–,"1,810",,"47,556",,
2016 IRS Residence in Ketchikan Gateway Borough,,–,–,–,–,–,–,–,–,–,–,–,–,"10,624",–,–,–,–,–,–,–,–,36,–,–,–,–,–,–,–,551,,"11,211",,
2016 IRS Residence in Kodiak Island Borough,,–,–,50,–,–,–,–,–,–,–,–,–,–,"11,030",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,959,,"12,039",,
2016 IRS Residence in Kusilvak Census Area,,–,–,43,49,–,–,–,–,–,–,–,–,–,–,"5,674",–,–,–,–,–,–,–,–,–,–,–,–,–,–,31,,"5,797",,
2016 IRS Residence in Lake and Peninsula Borough,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,043",–,–,–,–,–,–,–,–,–,–,–,–,–,–,,"1,043",,
2016 IRS Residence in Matanuska-Susitna Borough,,–,–,"2,906",42,–,–,–,177,–,–,67,220,–,58,–,–,"74,579",–,–,–,–,–,–,–,–,86,–,–,–,"2,915",,"81,050",,
2016 IRS Residence in Nome Census Area,,–,–,77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"6,449",–,–,–,–,–,–,–,–,–,–,–,96,,"6,622",,
2016 IRS Residence in North Slope Borough,,–,–,67,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,156",–,–,–,–,–,–,–,–,–,–,79,,"5,302",,
2016 IRS Residence in Northwest Arctic Borough,,–,–,59,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"4,496",–,–,–,–,–,–,–,–,–,87,,"4,642",,
2016 IRS Residence in Petersburg Census Area,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,866",–,–,–,–,–,–,–,–,66,,"2,932",,
2016 IRS Residence in Prince of Wales-Hyder Census Area,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,636",–,–,–,–,–,–,–,146,,"3,782",,
2016 IRS Residence in Sitka City and Borough,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"6,760",–,–,–,–,–,–,369,,"7,129",,
2016 IRS Residence in Skagway Municipality,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,930,–,–,–,–,–,47,,977,,
2016 IRS Residence in Southeast Fairbanks Census Area,,–,–,–,–,–,–,–,75,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,558",–,–,–,–,238,,"5,871",,
2016 IRS Residence in Valdez-Cordova Census Area,,–,–,101,–,–,–,–,37,–,–,–,–,–,–,–,–,36,–,–,–,–,–,–,–,–,"7,291",–,–,–,434,,"7,899",,
2016 IRS Residence in Wrangell City and Borough ,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,652",–,–,56,,"1,708",,
2016 IRS Residence in Yakutat City and Borough,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,386,–,–,,386,,
2016 IRS Residence in Yukon-Koyukuk Census Area,,–,–,–,–,–,–,–,75,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,816",79,,"3,970",,
2016 IRS Residence Out of State,,123,345,"16,368",230,36,85,48,"7,781",51,53,"1,467","1,824",596,"1,002",49,–,"2,912",63,137,55,101,101,354,30,248,423,35,–,57,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2015,,"1,326","3,636","251,585","13,046",658,"1,730","3,842","81,359","1,881","1,520","26,795","47,467","11,256","12,351","5,874","1,043","79,105","6,652","5,420","4,688","2,967","3,773","7,210",960,"5,958","7,978","1,687",386,"4,035",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
