,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2006-2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence,,,,
2007 IRS Residence in Kodiak Island Borough,,-,-,109,-,-,-,-,32,-,-,17,-,"10,149",-,-,-,-,-,38,-,-,-,-,-,-,813,,"11,264",,
2007 IRS Residence in Lake and Peninsula Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,019",-,-,-,-,-,-,-,-,-,-,-,34,,"1,129",,
2007 IRS Residence in Matanuska-Susitna Borough,,-,-,"2,450",61,-,-,-,179,-,67,123,-,55,-,"54,820",25,-,-,-,-,36,6-,-,-,-,"2,417",,"60,470",,
2007 IRS Residence in Nome Census Area,,-,-,78,-,-,-,-,-,-,-,-,-,-,-,-,"6,253",-,-,-,-,-,-,-,-,-,95,,"6,521",,
2007 IRS Residence in North Slope Borough,,-,-,67,-,-,-,-,38,-,-,-,-,-,-,-,-,"4,655",-,-,-,-,-,-,-,-,86,,"4,906",,
2007 IRS Residence in Northwest Arctic Borough,,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,24,"4,710",-,-,-,-,-,-,-,68,,"4,925",,
2007 IRS Residence in Sitka City and Borough,,-,-,29,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,"6,572",-,-,-,-,-,-,369,,"7,110",,
2007 IRS Residence in Skagway Municipality or Hoonah-Angoon Census Area,,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,"2,178",-,-,-,-,-,105,,"2,382",,
2007 IRS Residence in Southeast Fairbanks Census Area,,-,-,50,-,-,-,-,122,-,-,-,-,-,-,-,-,-,-,-,-,"5,257",-,-,-,-,348,,"5,849",,
2007 IRS Residence in Valdez-Cordova Census Area,,-,-,113,-,-,-,-,29,-,-,-,-,-,-,32,-,-,-,-,-,-,"7,127",-,-,-,277,,"7,678",,
2007 IRS Residence in Wade Hampton Census Area,,-,-,57,69,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,181",-,-,70,,"5,454",,
2007 IRS Residence in Yakutat City and Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,375,-,-,,402,,
2007 IRS Residence in Yukon-Koyukuk Census Area,,-,-,19,-,-,-,-,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,837",80,,"4,123",,
2007 IRS Residence Out of State,,115,373,"14,855",202,-,103,86,"6,307",87,"1,306","1,442","1,039",981,27,"2,417",104,108,94,486,107,289,391,53,-,62,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2006,,"1,238","3,262","218,340","12,811",887,"1,665","3,564","72,538","1,770","24,737","39,903","18,986","11,524","1,115","58,817","6,644","5,068","5,001","7,316","2,369","5,788","7,945","5,446",401,"4,155",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data will not exactly match data from the Alaska Department of Labor and Workforce Development's population estimates, and may differ significantly. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to changes in borough and census area boundaries, some areas are combined. All numbers based on 2010 Census geography.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: IRS Tax Statistics; Alaska Department of Labor and Workforce Development, Research and Analysis Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
