,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2006-2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence in,2006 IRS Residence,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Juneau City and Borough,Kenai Peninsula Borough,"Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Sitka City and Borough,Skagway Municipality or Hoonah-Angoon Census Area,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2007,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 IRS Residence in Aleutians East Borough,,"1,058",-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,,"1,242",,
2007 IRS Residence in Aleutians West Census Area,,-,"2,763",26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,289,,"3,115",,
2007 IRS Residence in Anchorage Municipality,,26,61,"198,741",239,18,32,79,595,-,244,451,116,199,29,"1,067",150,138,65,42,-,58,186,70,-,57,"12,259",,"214,945",,
2007 IRS Residence in Bethel Census Area,,-,-,149,"12,080",-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,50,-,-,198,,"12,567",,
2007 IRS Residence in Bristol Bay Borough,,-,-,-,-,778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,854,,
2007 IRS Residence in Denali Borough,,-,-,-,-,-,"1,457",-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,,"1,640",,
2007 IRS Residence in Dillingham Census Area,,-,-,63,-,-,-,"3,306",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,,"3,536",,
2007 IRS Residence in Fairbanks North Star Borough,,-,-,553,30,-,44,-,"64,733",-,53,68,-,30,-,110,34,71,34,-,-,110,68,21,-,143,"7,334",,"73,504",,
2007 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,639",30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,,"1,806",,
2007 IRS Residence in Juneau City and Borough,,-,-,144,-,-,-,-,54,28,"22,831",25,111,28,-,30,-,-,-,46,38,-,-,-,-,-,992,,"24,374",,
2007 IRS Residence in Kenai Peninsula Borough,,-,-,607,37,-,-,-,126,-,31,"37,651",-,26,-,123,-,-,-,17,-,-,31,-,-,-,"1,614",,"40,419",,
"2007 IRS Residence in Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",,-,-,50,-,-,-,-,-,-,37,-,"17,491",-,-,-,-,-,-,37,-,-,-,-,-,-,814,,"18,680",,
