,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2003-2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence in,2003 IRS Residence,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Juneau City and Borough,Kenai Peninsula Borough,"Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Sitka City and Borough,Skagway Municipality or Hoonah-Angoon Census Area,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 IRS Residence in Aleutians East Borough,,"1,049",-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,,"1,212"
2004 IRS Residence in Aleutians West Census Area,,-,"2,826",34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,334,,"3,242"
2004 IRS Residence in Anchorage Municipality,,33,91,"197,974",170,28,14,67,774,-,203,537,58,220,27,849,90,153,85,45,-,19,186,49,-,46,"12,740",,"214,499"
2004 IRS Residence in Bethel Census Area,,-,-,112,"11,950",-,-,-,30,-,-,28,-,-,-,-,-,-,-,-,-,-,-,39,-,-,233,,"12,448"
2004 IRS Residence in Bristol Bay Borough,,-,-,-,-,855,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,955
2004 IRS Residence in Denali Borough,,-,-,-,-,-,"1,414",-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212,,"1,707"
2004 IRS Residence in Dillingham Census Area,,-,-,61,29,-,-,"3,288",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,,"3,507"
2004 IRS Residence in Fairbanks North Star Borough,,-,-,400,43,-,56,-,"64,202",-,46,65,15,26,-,131,21,61,34,20,-,109,41,-,-,160,"7,128",,"72,641"
2004 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,738",21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,,"1,854"
2004 IRS Residence in Juneau City and Borough,,-,-,126,-,-,-,-,56,23,"23,473",21,121,-,-,26,-,-,-,52,71,-,-,-,-,-,"1,071",,"25,110"
2004 IRS Residence in Kenai Peninsula Borough,,-,-,550,31,-,-,-,67,-,44,"37,433",-,30,-,150,-,-,-,-,-,-,18,-,-,-,"1,493",,"39,963"
"2004 IRS Residence in Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",,-,-,27,-,-,-,-,-,-,92,-,"17,927",-,-,-,-,-,-,-,-,-,-,-,-,-,956,,"19,202"
2004 IRS Residence in Kodiak Island Borough,,-,-,74,-,-,-,-,-,-,-,18,-,"10,461",-,-,-,-,-,-,-,-,-,-,-,-,716,,"11,410"
2004 IRS Residence in Lake and Peninsula Borough,,-,-,29,-,-,-,-,-,-,-,-,-,-,"1,025",-,-,-,-,-,-,-,-,-,-,-,37,,"1,130"
2004 IRS Residence in Matanuska-Susitna Borough,,-,21,"2,363",54,-,23,-,142,-,60,166,34,49,-,"48,106",-,-,-,-,-,-,80,14,-,31,"2,286",,"53,583"
2004 IRS Residence in Nome Census Area,,-,-,114,-,-,-,-,19,-,-,-,-,-,-,-,"6,375",-,-,-,-,-,-,-,-,-,147,,"6,758"
2004 IRS Residence in North Slope Borough,,-,-,39,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,844",-,-,-,-,-,-,-,-,106,,"5,048"
2004 IRS Residence in Northwest Arctic Borough,,-,-,94,-,-,-,-,24,-,-,-,-,-,-,-,-,-,"4,626",-,-,-,-,-,-,-,104,,"4,906"
2004 IRS Residence in Sitka City and Borough,,-,-,38,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,"6,665",-,-,-,-,-,-,403,,"7,267"
2004 IRS Residence in Skagway Municipality or Hoonah-Angoon Census Area,,-,-,12,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,"2,203",-,-,-,-,-,139,,"2,422"
2004 IRS Residence in Southeast Fairbanks Census Area,,-,-,35,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,"4,448",-,-,-,-,361,,"5,023"
2004 IRS Residence in Valdez-Cordova Census Area,,-,-,101,-,-,-,-,45,-,-,-,-,-,-,48,-,-,-,-,-,-,"7,468",-,-,-,441,,"8,201"
2004 IRS Residence in Wade Hampton Census Area,,-,-,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,236",-,-,70,,"5,464"
2004 IRS Residence in Yakutat City and Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,388,-,-,,408
2004 IRS Residence in Yukon-Koyukuk Census Area,,-,-,37,-,-,-,-,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,086",117,,"4,424"
2004 IRS Residence Out of State,,146,354,"13,243",177,41,142,78,"7,462",90,"1,281","1,556","1,022",858,31,"1,728",165,174,118,486,92,187,399,30,15,80,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2003,,"1,255","3,335","215,572","12,580",977,"1,670","3,537","73,120","1,897","25,355","39,947","19,418","11,717","1,139","51,179","6,748","5,300","4,926","7,371","2,445","4,824","8,272","5,439",422,"4,481",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
