,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2007-2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence in,2007 IRS Residence,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Juneau City and Borough,Kenai Peninsula Borough,"Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Sitka City and Borough,Skagway Municipality or Hoonah-Angoon Census Area,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2008,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 IRS Residence in Aleutians East Borough,,"1,127",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,,"1,305",,
2008 IRS Residence in Aleutians West Census Area,,-,"2,834",31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,282,,"3,177",,
2008 IRS Residence in Anchorage Municipality,,31,110,"204,849",246,-,33,93,528,17,158,520,99,161,52,"1,168",158,132,120,43,-,76,176,97,-,87,"13,433",,"222,428",,
2008 IRS Residence in Bethel Census Area,,-,-,135,"12,306",-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,68,-,-,201,,"12,840",,
2008 IRS Residence in Bristol Bay Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,856,,
2008 IRS Residence in Denali Borough,,-,-,28,-,-,"1,513",-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,,"1,698",,
2008 IRS Residence in Dillingham Census Area,,-,-,51,-,-,-,"3,367",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,,"3,562",,
2008 IRS Residence in Fairbanks North Star Borough,,-,-,401,43,-,34,-,"67,967",-,29,65,-,40,-,115,28,47,24,-,-,101,42,-,-,154,"6,592",,"75,778",,
2008 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,737",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,,"1,866",,
2008 IRS Residence in Juneau City and Borough,,-,-,107,-,-,-,-,31,10,"22,310",20,112,-,-,33,-,-,-,33,39,-,-,-,-,-,"1,145",,"23,909",,
2008 IRS Residence in Kenai Peninsula Borough,,-,-,653,33,-,-,-,95,-,24,"39,233",14,35,-,129,24,-,-,-,-,-,33,-,-,-,"1,634",,"42,017",,
"2008 IRS Residence in Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",,-,-,25,-,-,-,-,-,-,40,-,"17,765",-,-,-,-,-,-,-,-,-,-,-,-,-,941,,"19,041",,
2008 IRS Residence in Kodiak Island Borough,,-,-,76,-,-,-,-,-,-,-,23,-,"10,406",-,-,-,-,-,-,-,-,-,-,-,-,912,,"11,533",,
2008 IRS Residence in Lake and Peninsula Borough,,-,-,33,-,-,-,-,-,-,-,-,-,-,"1,056",-,-,-,-,-,-,-,-,-,-,-,27,,"1,147",,
2008 IRS Residence in Matanuska-Susitna Borough,,-,-,"2,295",56,-,33,-,174,-,36,161,-,44,-,"58,535",32,28,32,-,-,33,74,-,-,-,"2,686",,"64,374",,
2008 IRS Residence in Nome Census Area,,-,-,92,-,-,-,-,20,-,-,-,-,-,-,-,"6,267",-,-,-,-,-,-,-,-,-,121,,"6,582",,
2008 IRS Residence in North Slope Borough,,-,-,76,-,-,-,-,25,-,-,-,-,-,-,-,-,"4,619",-,-,-,-,-,-,-,-,136,,"4,906",,
2008 IRS Residence in Northwest Arctic Borough,,-,-,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,832",-,-,-,-,-,-,-,73,,"5,067",,
2008 IRS Residence in Sitka City and Borough,,-,-,45,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,"6,318",-,-,-,-,-,-,323,,"6,796",,
2008 IRS Residence in Skagway Municipality or Hoonah-Angoon Census Area,,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,"2,142",-,-,-,-,-,137,,"2,351",,
2008 IRS Residence in Southeast Fairbanks Census Area,,-,-,35,-,-,-,-,79,-,-,-,-,-,-,30,-,-,-,-,-,"5,362",22,-,-,-,316,,"5,904",,
2008 IRS Residence in Valdez-Cordova Census Area,,-,-,116,-,-,-,-,23,-,-,-,-,-,-,29,-,-,-,-,-,-,"7,223",-,-,-,327,,"7,820",,
2008 IRS Residence in Wade Hampton Census Area,,-,-,53,58,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,383",-,-,59,,"5,614",,
2008 IRS Residence in Yakutat City and Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,352,-,-,,383,,
2008 IRS Residence in Yukon-Koyukuk Census Area,,-,-,32,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,816",102,,"4,098",,
2008 IRS Residence Out of State,,121,451,"14,473",188,-,69,100,"8,463",82,"1,079","1,759","1,041",907,29,"2,407",147,96,102,355,144,356,361,45,31,86,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2007,,"1,290","3,462","223,768","13,016",854,"1,691","3,678","77,639","1,874","23,800","41,935","19,262","11,631","1,178","62,595","6,708","4,964","5,189","6,859","2,380","5,970","7,996","5,666",407,"4,234",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data will not exactly match data from the Alaska Department of Labor and Workforce Development's population estimates, and may differ significantly. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to changes in borough and census area boundaries, some areas are combined. All numbers based on 2010 Census geography.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: IRS Tax Statistics; Alaska Department of Labor and Workforce Development, Research and Analysis Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
