,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2010-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,,,,
2011 IRS Residence in Matanuska-Susitna Borough,,-,-,"2,350",20,-,-,-,142,-,-,28,176,-,31,-,"65,032",-,33,22,-,-,-,-,50,53,-,-,-,-,"2,565",,"70,659",,
2011 IRS Residence in Nome Census Area,,-,-,131,-,-,-,-,19,-,-,-,-,-,-,-,-,"6,532",-,31,-,-,-,-,-,-,-,-,-,-,152,,"6,923",,
2011 IRS Residence in North Slope Borough,,-,-,75,-,-,-,-,23,-,-,-,-,-,-,-,-,-,"5,084",-,-,-,-,-,-,-,-,-,-,-,148,,"5,397",,
2011 IRS Residence in Northwest Arctic Borough,,-,-,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,419",-,-,-,-,-,-,-,-,-,-,122,,"4,740",,
2011 IRS Residence in Petersburg Census Area,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,734",-,-,-,-,-,-,-,-,-,143,,"2,954",,
2011 IRS Residence in Prince of Wales-Hyder Census Area,,-,-,27,-,-,-,-,-,-,-,21,-,35,-,-,-,-,-,-,-,"3,389",-,-,-,-,-,-,-,-,167,,"3,701",,
2011 IRS Residence in Sitka City and Borough,,-,-,26,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,"6,501",-,-,-,-,-,-,-,427,,"7,062",,
2011 IRS Residence in Skagway Municipality,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,739,-,-,-,-,-,-,41,,796,,
2011 IRS Residence in Southeast Fairbanks Census Area,,-,-,38,-,-,-,-,124,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,"5,674",-,-,-,-,-,369,,"6,276",,
2011 IRS Residence in Valdez-Cordova Census Area,,-,-,133,-,-,-,-,35,-,-,-,16,-,-,-,43,-,-,-,-,-,-,-,-,"7,059",-,-,-,-,442,,"7,786",,
2011 IRS Residence in Wade Hampton Census Area,,-,-,76,79,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,530",-,-,-,37,,"5,775",,
2011 IRS Residence in Wrangell City and Borough ,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,595",-,-,64,,"1,701",,
2011 IRS Residence in Yakutat City and Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,372,-,-,,372,,
2011 IRS Residence in Yukon-Koyukuk Census Area,,-,-,59,-,-,-,-,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,810",71,,"4,106",,
2011 IRS Residence Out of State,,173,307,"15,390",173,41,106,74,"8,470",38,36,"1,167","1,561",629,913,-,"2,679",125,120,99,157,117,439,72,339,425,38,59,16,82,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2010,,"1,440","3,408","236,515","13,080",749,"1,714","3,812","79,703","1,823","1,432","24,955","43,011","10,737","11,863","1,086","69,600","6,877","5,467","4,773","2,965","3,598","7,152",829,"6,297","7,822","5,774","1,707",425,"4,134",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data will not exactly match data from the Alaska Department of Labor and Workforce Development's population estimates, and may differ significantly. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All numbers based on 2010 Census geography.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: IRS Tax Statistics; Alaska Department of Labor and Workforce Development, Research and Analysis Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
