,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2010-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,2010 IRS Residence in,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Petersburg Census Area,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Wrangell City and Borough ,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2011,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 IRS Residence in Aleutians East Borough,,"1,214",-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141,,"1,408",,
2011 IRS Residence in Aleutians West Census Area,,-,"2,993",22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,290,,"3,351",,
2011 IRS Residence in Anchorage Municipality,,37,62,"216,423",246,20,18,65,656,15,-,158,480,49,160,-,"1,249",95,104,104,-,-,61,-,54,158,65,-,-,42,"14,195",,"234,582",,
2011 IRS Residence in Bethel Census Area,,-,-,182,"12,413",-,-,-,23,-,-,-,31,-,-,-,57,-,-,-,-,-,-,-,-,-,69,-,-,-,200,,"13,036",,
2011 IRS Residence in Bristol Bay Borough,,-,-,24,-,661,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,,760,,
2011 IRS Residence in Denali Borough,,-,-,16,-,-,"1,532",-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,,"1,730",,
2011 IRS Residence in Dillingham Census Area,,-,-,46,-,-,-,"3,607",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,,"3,827",,
2011 IRS Residence in Fairbanks North Star Borough,,-,-,417,24,-,33,-,"69,855",-,-,54,61,-,28,-,166,23,64,41,-,-,-,-,123,25,-,-,-,132,"7,555",,"78,651",,
2011 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,740",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,,"1,873",,
2011 IRS Residence in Hoonah-Angoon Census Area,,-,-,-,-,-,-,-,-,-,"1,317",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,,"1,417",,
2011 IRS Residence in Juneau City and Borough,,-,-,163,-,-,-,-,45,11,39,"23,361",21,44,-,-,37,-,-,-,22,-,37,-,-,-,-,-,-,-,"1,389",,"25,260",,
2011 IRS Residence in Kenai Peninsula Borough,,-,-,606,44,-,-,-,49,-,-,15,"40,513",16,19,-,155,-,-,-,-,-,-,-,-,36,-,-,-,-,"1,697",,"43,288",,
2011 IRS Residence in Ketchikan Gateway Borough,,-,-,21,-,-,-,-,-,-,-,32,-,"9,904",-,-,-,-,-,-,-,43,-,-,-,-,-,18,-,-,589,,"10,685",,
2011 IRS Residence in Kodiak Island Borough,,-,-,81,-,-,-,-,-,-,-,-,29,-,"10,654",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,920,,"11,780",,
2011 IRS Residence in Lake and Peninsula Borough,,-,-,41,-,-,-,-,-,-,-,-,-,-,-,"1,086",-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,,"1,193",,
