,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2011-2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,2011 IRS Residence in,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Petersburg Census Area,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Wrangell City and Borough ,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2012,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 IRS Residence in Aleutians East Borough,,"1,334",-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,,"1,479",,
2012 IRS Residence in Aleutians West Census Area,,-,"3,182",42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,342,,"3,600",,
2012 IRS Residence in Anchorage Municipality,,35,47,"229,204",249,15,-,64,600,-,-,170,557,38,139,27,"1,516",108,144,155,-,-,31,-,44,134,103,-,-,56,"15,374",,"249,741",,
2012 IRS Residence in Bethel Census Area,,-,-,124,"12,786",-,-,-,13,-,-,-,29,-,-,-,17,-,-,-,-,-,-,-,-,-,42,-,-,-,249,,"13,317",,
2012 IRS Residence in Bristol Bay Borough,,-,-,-,-,726,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,,803,,
2012 IRS Residence in Denali Borough,,-,-,22,-,-,"1,647",-,28,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,,"1,884",,
2012 IRS Residence in Dillingham Census Area,,-,-,43,-,-,-,"3,695",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,,"3,849",,
2012 IRS Residence in Fairbanks North Star Borough,,-,-,435,41,-,-,-,"72,315",-,-,40,94,-,-,-,155,20,49,29,-,-,-,-,146,29,13,-,-,127,"6,747",,"80,602",,
