,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2002-2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence,,
2003 IRS Residence in Matanuska-Susitna Borough,,-,-,"2,134",37,-,-,22,145,-,46,145,19,35,-,"45,469",27,-,-,-,-,31,52,-,-,27,"2,271",,"50,608"
2003 IRS Residence in Nome Census Area,,-,-,72,-,-,-,-,-,-,-,-,-,-,-,-,"6,090",-,-,-,-,-,-,-,-,-,187,,"6,428"
2003 IRS Residence in North Slope Borough,,-,-,56,-,-,-,-,12,-,-,-,-,-,-,-,-,"4,893",-,-,-,-,-,-,-,-,135,,"5,154"
2003 IRS Residence in Northwest Arctic Borough,,-,-,69,-,-,-,-,-,-,-,-,-,-,-,-,21,-,"4,607",-,-,-,-,-,-,-,128,,"4,905"
2003 IRS Residence in Sitka City and Borough,,-,-,24,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,"6,628",-,-,-,-,-,-,361,,"7,166"
2003 IRS Residence in Skagway Municipality or Hoonah-Angoon Census Area,,-,-,24,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,"2,201",-,-,-,-,-,141,,"2,432"
2003 IRS Residence in Southeast Fairbanks Census Area,,-,-,29,-,-,-,-,71,-,-,-,-,-,-,32,-,-,-,-,-,"4,208",-,-,-,-,310,,"4,707"
2003 IRS Residence in Valdez-Cordova Census Area,,-,-,139,-,-,-,-,48,-,-,20,-,-,-,40,-,-,-,-,-,-,"7,432",-,-,-,404,,"8,172"
2003 IRS Residence in Wade Hampton Census Area,,-,-,59,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,922",-,-,69,,"5,145"
2003 IRS Residence in Yakutat City and Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365,-,15,,402
2003 IRS Residence in Yukon-Koyukuk Census Area,,-,-,18,-,-,-,-,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,103",103,,"4,447"
2003 IRS Residence Out of State,,118,295,"13,429",177,60,133,79,"6,820",61,"1,240","1,663","1,148",988,26,"1,752",120,150,77,406,162,169,413,39,32,79,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2002,,"1,241","3,186","212,475","12,168",990,"1,662","3,501","71,822","1,891","24,914","39,615","19,360","11,902","1,082","48,589","6,503","5,243","4,944","7,231","2,543","4,609","8,301","5,163",426,"4,497",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data will not exactly match data from the Alaska Department of Labor and Workforce Development's population estimates, and may differ significantly. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to changes in borough and census area boundaries, some areas are combined. All numbers based on 2010 Census geography.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: IRS Tax Statistics; Alaska Department of Labor and Workforce Development, Research and Analysis Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
