,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2002-2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence in,2002 IRS Residence,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Juneau City and Borough,Kenai Peninsula Borough,"Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Sitka City and Borough,Skagway Municipality or Hoonah-Angoon Census Area,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003 IRS Residence in Aleutians East Borough,,"1,063",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145,,"1,243"
2003 IRS Residence in Aleutians West Census Area,,-,"2,755",39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,375,,"3,224"
2003 IRS Residence in Anchorage Municipality,,35,64,"194,887",225,-,25,116,697,-,189,622,110,245,40,911,139,92,103,52,19,36,245,80,-,59,"12,832",,"211,855"
2003 IRS Residence in Bethel Census Area,,-,-,97,"11,543",-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,-,-,250,,"12,094"
2003 IRS Residence in Bristol Bay Borough,,-,-,-,-,872,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,,957
2003 IRS Residence in Denali Borough,,-,-,-,-,-,"1,438",-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,,"1,643"
2003 IRS Residence in Dillingham Census Area,,-,-,63,-,-,-,"3,202",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,,"3,422"
2003 IRS Residence in Fairbanks North Star Borough,,-,-,404,30,-,40,28,"63,553",-,51,48,28,-,-,101,29,40,66,-,-,104,43,-,-,155,"6,663",,"71,445"
2003 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,743",28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,,"1,886"
2003 IRS Residence in Juneau City and Borough,,-,-,158,-,-,-,-,38,29,"23,147",34,146,28,-,29,-,-,-,44,75,-,-,-,-,-,"1,134",,"24,933"
2003 IRS Residence in Kenai Peninsula Borough,,-,21,558,32,-,-,20,94,-,27,"36,907",-,-,-,116,-,-,-,-,-,18,35,-,-,-,"1,537",,"39,547"
"2003 IRS Residence in Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",,-,-,50,-,-,-,-,19,-,54,-,"17,691",-,-,-,-,-,-,-,-,-,-,-,-,-,869,,"18,955"
2003 IRS Residence in Kodiak Island Borough,,-,-,70,-,-,-,-,-,-,-,15,-,"10,505",-,-,-,-,-,-,-,-,-,-,-,-,768,,"11,456"
2003 IRS Residence in Lake and Peninsula Borough,,-,-,44,-,-,-,-,-,-,-,-,-,-,950,-,-,-,-,-,-,-,-,-,-,-,43,,"1,070"
