,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2000-2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Juneau City and Borough,Kenai Peninsula Borough,"Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Sitka City and Borough,Skagway Municipality or Hoonah-Angoon Census Area,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 IRS Residence in Aleutians East Borough,,955,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149,,"1,155"
2001 IRS Residence in Aleutians West Census Area,,-,"2,633",28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319,,"3,048"
2001 IRS Residence in Anchorage Municipality,,53,100,"187,458",164,43,33,123,596,17,194,595,86,271,58,929,130,133,140,63,24,63,205,84,-,45,"12,316",,"203,961"
2001 IRS Residence in Bethel Census Area,,-,-,66,"11,000",-,-,-,35,-,-,23,-,-,-,-,-,-,-,-,-,-,-,49,-,-,211,,"11,467"
2001 IRS Residence in Bristol Bay Borough,,-,-,-,-,896,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,,992
2001 IRS Residence in Denali Borough,,-,-,18,-,-,"1,449",-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143,,"1,682"
2001 IRS Residence in Dillingham Census Area,,-,-,29,-,-,-,"3,150",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,,"3,350"
2001 IRS Residence in Fairbanks North Star Borough,,-,-,375,50,-,33,-,"61,817",-,44,79,31,22,-,96,35,45,50,-,-,132,50,-,-,209,"6,208",,"69,337"
2001 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,843",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,,"1,966"
2001 IRS Residence in Juneau City and Borough,,-,-,142,-,-,-,-,54,33,"22,879",-,122,30,-,-,-,-,-,79,44,-,-,-,-,-,988,,"24,486"
2001 IRS Residence in Kenai Peninsula Borough,,-,-,611,17,-,-,-,88,-,29,"36,115",39,23,-,98,-,25,-,-,-,-,30,-,-,-,"1,597",,"38,808"
"2001 IRS Residence in Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",,-,-,40,-,-,-,-,18,-,55,-,"18,551",-,-,-,-,-,-,20,-,-,-,-,-,-,854,,"19,863"
