,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2000-2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence in,2000 IRS Residence,,
2001 IRS Residence in Kodiak Island Borough,,-,-,71,-,-,-,-,20,-,-,-,-,"10,577",-,29,-,-,-,-,-,-,-,-,-,-,793,,"11,597"
2001 IRS Residence in Lake and Peninsula Borough,,-,-,26,-,-,-,-,-,-,-,-,-,-,"1,012",24,-,-,-,-,-,-,-,-,-,-,14,,"1,117"
2001 IRS Residence in Matanuska-Susitna Borough,,-,-,"1,672",34,-,-,-,96,-,63,100,-,43,-,"41,909",-,-,24,-,-,-,54,-,-,-,"1,723",,"45,961"
2001 IRS Residence in Nome Census Area,,-,-,66,-,-,-,-,19,-,-,-,-,-,-,-,"6,005",-,-,-,-,-,-,-,-,-,143,,"6,314"
2001 IRS Residence in North Slope Borough,,-,-,55,-,-,-,-,38,-,-,-,-,-,-,-,-,"5,005",-,-,-,-,-,-,-,-,127,,"5,296"
2001 IRS Residence in Northwest Arctic Borough,,-,-,74,-,-,-,-,16,-,-,-,-,-,-,-,22,-,"4,487",-,-,-,-,-,-,-,133,,"4,781"
2001 IRS Residence in Sitka City and Borough,,-,-,35,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,"6,416",-,-,-,-,-,-,360,,"6,966"
2001 IRS Residence in Skagway Municipality or Hoonah-Angoon Census Area,,-,-,17,-,-,-,-,-,-,43,-,-,-,-,-,-,-,-,-,"2,385",-,-,-,-,-,155,,"2,652"
2001 IRS Residence in Southeast Fairbanks Census Area,,-,-,27,-,-,-,-,52,-,-,17,-,-,-,-,-,-,-,-,-,"4,304",-,-,-,-,176,,"4,611"
2001 IRS Residence in Valdez-Cordova Census Area,,-,-,125,-,-,-,-,49,-,-,22,-,-,-,17,-,-,-,-,-,30,"7,516",-,-,-,331,,"8,221"
2001 IRS Residence in Wade Hampton Census Area,,-,-,40,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,692",-,-,67,,"4,874"
2001 IRS Residence in Yakutat City and Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,408,-,34,,477
2001 IRS Residence in Yukon-Koyukuk Census Area,,-,-,51,-,-,-,-,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,062",84,,"4,344"
2001 IRS Residence Out of State,,174,333,"12,988",211,58,164,77,"6,454",81,"1,401","1,628","1,219",965,47,"1,536",141,173,83,518,172,480,436,64,46,91,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2000,,"1,250","3,134","204,079","11,600","1,045","1,707","3,430","69,512","2,028","24,804","38,765","20,396","12,012","1,199","44,768","6,411","5,465","4,835","7,188","2,695","5,081","8,382","4,972",490,"4,476",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data will not exactly match data from the Alaska Department of Labor and Workforce Development's population estimates, and may differ significantly. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to changes in borough and census area boundaries, some areas are combined. All numbers based on 2010 Census geography.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: IRS Tax Statistics; Alaska Department of Labor and Workforce Development, Research and Analysis Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
