,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2013-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,2013 IRS Residence in,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Kusilvak Census Area,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Petersburg Census Area,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wrangell City and Borough ,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2014,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 IRS Residence in Aleutians East Borough,,"1,258",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,89,,"1,384",,
2014 IRS Residence in Aleutians West Census Area,,–,"3,238",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,237,,"3,514",,
2014 IRS Residence in Anchorage Municipality,,29,48,"229,293",238,–,–,75,564,–,–,208,514,41,179,57,51,"1,333",97,103,124,–,–,–,–,54,188,–,–,–,"14,069",,"247,990",,
2014 IRS Residence in Bethel Census Area,,–,–,82,"12,746",–,–,–,–,–,–,–,–,–,–,53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,218,,"13,183",,
2014 IRS Residence in Bristol Bay Borough,,–,–,–,–,696,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,24,,754,,
2014 IRS Residence in Denali Borough,,–,–,–,–,–,"1,597",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,85,,"1,747",,
2014 IRS Residence in Dillingham Census Area,,–,–,32,–,–,–,"3,660",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,51,,"3,825",,
2014 IRS Residence in Fairbanks North Star Borough,,–,–,359,–,–,–,–,"70,516",–,–,33,42,–,–,–,–,141,–,61,–,–,–,–,–,97,53,–,–,167,"6,277",,"78,462",,
2014 IRS Residence in Haines Borough,,–,–,–,–,–,–,–,–,"1,879",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,48,,"1,989",,
2014 IRS Residence in Hoonah-Angoon Census Area,,–,–,–,–,–,–,–,–,–,"1,490",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40,,"1,612",,
2014 IRS Residence in Juneau City and Borough,,–,–,137,–,–,–,–,54,35,–,"25,098",–,41,–,–,–,–,–,–,–,–,–,67,–,–,–,–,–,–,"1,178",,"26,811",,
